7303,4550,5255,1014,9695
7943,5730,7634,4619,5610
8732,9633,8102,693,1915
7290,6237,5027,7260,9356
4504,8681,3850,8689,8530
738,1333,7634,3066,9155
3803,2540,9421,5980,3144
8158,2874,3733,2358,1829
8192,5189,4285,4939,9942
9991,5880,7647,5268,9467
6330,9542,4430,3411,6760
753,8213,4661,1359,6393
7102,9170,2648,9674,5626
1301,1274,2559,6405,166
4321,2483,153,2281,9021
4745,1162,4184,2748,2517
4368,8522,5083,1418,5582
3037,1118,5592,1717,3559
9138,3169,1658,4796,1309
4187,3262,2680,223,7798
3788,4481,4222,4508,7278
9017,1799,9323,4197,1208
9954,447,5985,1770,5746
9,9656,48,89,9624
5167,9794,2066,8315,5530
5920,1977,2510,4291,66
2287,6657,677,6618,3200
3324,4002,3273,6973,8588
3593,2880,9247,5120,4882
6234,6119,9123,3825,637
9286,3358,2014,3335,8886
9445,1508,8012,7221,3230
2158,6194,4078,5552,4402
5657,6050,7442,6532,2245
9998,5258,9725,6471,3974
9616,7788,2789,266,1555
7890,9095,1720,2240,5843
3739,1588,998,9347,4590
5077,8729,5855,4052,8337
4205,9233,746,9292,2914
8021,8390,4774,3922,176
616,2360,4963,7616,4015
5133,7575,6962,6994,9744
4653,5704,8987,8694,57
3316,8137,923,6694,1118
7103,3637,4949,5430,6998
9421,4679,179,8284,6991
4729,1706,2102,8207,6809
9626,9695,2683,2250,4130
1308,2155,4637,9494,4751
555,5991,6637,910,9230
4294,6594,6817,7972,4262
8093,8683,9127,1357,2180
9772,2471,2532,1674,3527
7959,2033,7957,7774,843
2058,1964,3550,8895,8991
1031,6420,1103,7562,7277
9199,5300,1891,8443,2494
7043,645,5551,6466,2144
1091,8601,6003,7716,8627
78,1492,9751,3433,8789
8363,5256,8920,5062,2010
2947,8141,9641,9244,9476
4344,5403,4810,9237,4643
5574,6562,1570,5862,3128
2550,2774,9324,5248,4521
8741,6675,3014,1551,2265
7233,1134,6144,2680,544
4629,9108,525,2543,4276
3958,4717,5764,3527,8585
933,9447,6164,2810,4557
5296,1248,5483,5819,5459
8138,4967,4245,7476,5560
7947,1589,2986,6379,6626
1499,807,8206,992,4986
9004,6795,670,5472,5099
4245,1174,6697,1007,7397
3460,6477,5940,5197,1925
9410,479,7041,5298,6198
6016,2294,1716,5427,9705
5465,8533,990,7126,3415
6444,3964,6513,8810,9504
5993,6711,8437,3998,8767
5358,9728,9982,8898,3270
7266,3184,4679,7209,3336
2099,9211,4384,6719,880
876,7732,8182,3229,3341
7018,7119,2148,6903,1716
1114,1231,3552,9051,8930
7531,5905,2851,3168,9515
7609,5499,8702,1937,4232
6578,3250,470,8352,2839
3238,5374,8544,8041,3603
1992,6904,1193,1254,7956
242,7334,6000,8286,2409
2295,9269,2587,9775,6350
2572,6965,5632,221,9027
6401,10000,7176,1821,5099
7039,7720,270,1786,6221
220,5275,8593,2185,6204
761,3164,7246,4046,7016
5051,55,1101,6114,6554
7710,6688,8930,8283,3998
7272,2673,6960,4703,9418
67,110,8732,1710,141
8463,27,9396,8194,5101
9212,5310,8258,9827,170
8732,3602,2569,39,329
1376,5570,7364,2912,2619
6878,5611,4184,8227,1365
1011,6469,2451,3493,198
8553,849,5732,4656,7840
6005,4240,8507,1242,5193
5522,3078,4826,9168,8826
6701,3394,8628,4628,3231
9496,9730,7030,4793,1604
9945,3728,3866,5936,334
9946,65,12,6760,7236
4224,8856,952,131,5749
3528,7998,1288,7485,7611
1340,3777,865,8625,2851
9453,5610,3289,4519,8024
9653,9919,980,6791,3682
1873,4108,4490,1044,4504
414,942,3717,2026,7927
1586,8729,5576,8424,3199
7726,3158,5595,2924,9335
9647,7509,9710,4140,1648
8502,3846,7477,9645,7494
7869,6461,640,2245,6092
5343,1584,3931,2684,7373
1867,6621,588,1149,3585
9569,2048,1272,2438,7883
8820,2776,9953,4158,8588
7426,1146,5280,6162,7698
8512,971,184,2789,2326
4556,4980,446,1054,2386
8456,6173,6184,6,6582
8165,232,3459,6555,3982
2908,8501,8389,6276,6845
2201,6071,1608,3749,2339
82,2920,7566,4345,7857
5446,4016,8518,7810,5517
9068,5080,6949,9129,641
7565,217,6792,9517,6445
2302,1800,3732,7330,7017
9340,6323,3081,5813,8234
967,7929,4217,6424,1138
7170,4116,3118,6672,819
4185,2129,7365,8360,1550
981,8153,8126,8313,5319
3925,8787,6908,3410,7515
6950,2285,4034,315,357
3794,2615,8449,1185,4825
2170,6318,5031,5560,1520
7855,8397,5790,3542,9543
2514,6972,6921,4113,7498
1730,7727,9252,1311,9724
8596,5529,5823,9016,6076
3290,1068,1012,7236,972
6805,1511,3049,6808,1297
6209,6150,2664,7830,1924
9542,632,1611,3982,5246
1640,9499,1010,3447,2278
3592,883,7367,4646,3241
9869,3810,1219,7927,1883
7722,9745,6742,768,4448
3871,1058,2002,1959,9425
1725,1755,2440,6984,8721
1927,6117,5357,1793,7977
517,6628,8794,3569,5322
5373,2292,2794,1762,3249
839,2197,5123,5443,5160
9316,1611,9939,3504,8866
5907,9880,8360,6005,8832
8430,1956,8093,1723,6337
292,4294,2802,7475,3445
5119,5225,987,5146,9678
2385,3451,7507,227,5224
2426,9935,8276,8345,8154
1582,398,1453,373,5835
37,9027,4083,4217,1026
3258,5476,9434,6889,3492
769,3749,7187,7511,8533
7397,4591,2097,1969,6733
6630,568,8713,9451,8579
6770,7775,2340,7463,6848
5023,6089,4785,4551,4281
7989,5593,4065,4129,6727
8325,423,1733,3229,6159
4382,7585,9696,2172,6691
9187,9935,2692,292,9229
3977,439,1712,3265,8022
3564,8980,6184,7482,9330
8037,9775,2633,8776,1513
3147,4791,7259,2982,9506
2488,5206,333,9188,5529
303,4209,8913,3023,2507
6170,5503,4233,347,1612
1107,2661,5290,1773,8097
3884,3141,5541,2676,5350
3739,5222,1807,605,3371
4961,8059,2175,7786,2240
9378,5455,8858,8775,3336
9416,1397,397,9799,6240
3360,4511,7894,1488,9676
7166,3373,5209,4725,3099
1351,9530,7129,4970,6431
3561,9621,6652,2470,9720
9108,2416,9272,2649,6593
3220,5775,3830,1481,5674
4124,9629,1550,552,9984
9672,2755,711,3612,5359
6099,6276,2839,7016,5307
7497,3957,7182,2691,3879
3391,8319,4592,6285,8200
3274,1655,2695,1323,450
8604,626,3175,5053,2116
5473,7509,623,7954,7640
54,8473,7240,4617,8875
4201,1156,4182,7257,3405
7742,2468,7886,5040,3578
9630,2501,1268,5456,9760
4990,5589,2668,3322,3099
1767,2113,1895,9890,8642
3856,1775,1567,2777,564
5703,6526,5568,7068,487
3813,85,5015,2871,3931
8943,8255,3965,5468,391
